Organization,Department,Designation,Functional Role
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Junior Statistical Officer","Monitoring & Evaluation"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Junior Statistical Officer","Training & Capacity Building"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Junior Statistical Officer","Administration"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Junior Statistical Officer","Finance & Accounts"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Junior Statistical Officer","IT / Digital Systems"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Junior Statistical Officer","Database Management"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Junior Statistical Officer","AI / Machine Learning"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Junior Statistical Officer","Cyber Security"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Junior Statistical Officer","e-Governance"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Junior Statistical Officer","Learning & Development"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Other","Statistical Analysis"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Other","Data Analysis"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Other","Survey Operations"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Other","Sampling"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Other","Data Quality & Validation"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Other","Research & Analysis"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Other","Economic Statistics"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Other","Social Statistics"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Other","Demographic Statistics"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Other","Statistical Computing"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Other","Data Management"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Other","Data Governance"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Other","Policy Analysis"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Other","Programme Management"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Other","Monitoring & Evaluation"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Other","Training & Capacity Building"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Other","Administration"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Other","Finance & Accounts"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Other","IT / Digital Systems"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Other","Database Management"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Other","AI / Machine Learning"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Other","Cyber Security"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Other","e-Governance"
"Ministry of Agriculture & Farmers Welfare","Agricultural Statistics","Other","Learning & Development"
"Ministry of Health & Family Welfare","Health Intelligence","Director","Statistical Analysis"
"Ministry of Health & Family Welfare","Health Intelligence","Director","Data Analysis"
"Ministry of Health & Family Welfare","Health Intelligence","Director","Survey Operations"
"Ministry of Health & Family Welfare","Health Intelligence","Director","Sampling"
"Ministry of Health & Family Welfare","Health Intelligence","Director","Data Quality & Validation"
"Ministry of Health & Family Welfare","Health Intelligence","Director","Research & Analysis"
"Ministry of Health & Family Welfare","Health Intelligence","Director","Economic Statistics"
"Ministry of Health & Family Welfare","Health Intelligence","Director","Social Statistics"
"Ministry of Health & Family Welfare","Health Intelligence","Director","Demographic Statistics"
"Ministry of Health & Family Welfare","Health Intelligence","Director","Statistical Computing"
"Ministry of Health & Family Welfare","Health Intelligence","Director","Data Management"
"Ministry of Health & Family Welfare","Health Intelligence","Director","Data Governance"
"Ministry of Health & Family Welfare","Health Intelligence","Director","Policy Analysis"
"Ministry of Health & Family Welfare","Health Intelligence","Director","Programme Management"
"Ministry of Health & Family Welfare","Health Intelligence","Director","Monitoring & Evaluation"
"Ministry of Health & Family Welfare","Health Intelligence","Director","Training & Capacity Building"
"Ministry of Health & Family Welfare","Health Intelligence","Director","Administration"
"Ministry of Health & Family Welfare","Health Intelligence","Director","Finance & Accounts"
"Ministry of Health & Family Welfare","Health Intelligence","Director","IT / Digital Systems"
"Ministry of Health & Family Welfare","Health Intelligence","Director","Database Management"
"Ministry of Health & Family Welfare","Health Intelligence","Director","AI / Machine Learning"
"Ministry of Health & Family Welfare","Health Intelligence","Director","Cyber Security"
"Ministry of Health & Family Welfare","Health Intelligence","Director","e-Governance"
"Ministry of Health & Family Welfare","Health Intelligence","Director","Learning & Development"
"Ministry of Health & Family Welfare","Health Intelligence","Deputy Director","Statistical Analysis"
"Ministry of Health & Family Welfare","Health Intelligence","Deputy Director","Data Analysis"
"Ministry of Health & Family Welfare","Health Intelligence","Deputy Director","Survey Operations"
"Ministry of Health & Family Welfare","Health Intelligence","Deputy Director","Sampling"
"Ministry of Health & Family Welfare","Health Intelligence","Deputy Director","Data Quality & Validation"
"Ministry of Health & Family Welfare","Health Intelligence","Deputy Director","Research & Analysis"
"Ministry of Health & Family Welfare","Health Intelligence","Deputy Director","Economic Statistics"
"Ministry of Health & Family Welfare","Health Intelligence","Deputy Director","Social Statistics"
"Ministry of Health & Family Welfare","Health Intelligence","Deputy Director","Demographic Statistics"
"Ministry of Health & Family Welfare","Health Intelligence","Deputy Director","Statistical Computing"
"Ministry of Health & Family Welfare","Health Intelligence","Deputy Director","Data Management"
"Ministry of Health & Family Welfare","Health Intelligence","Deputy Director","Data Governance"
"Ministry of Health & Family Welfare","Health Intelligence","Deputy Director","Policy Analysis"
"Ministry of Health & Family Welfare","Health Intelligence","Deputy Director","Programme Management"
"Ministry of Health & Family Welfare","Health Intelligence","Deputy Director","Monitoring & Evaluation"
"Ministry of Health & Family Welfare","Health Intelligence","Deputy Director","Training & Capacity Building"
"Ministry of Health & Family Welfare","Health Intelligence","Deputy Director","Administration"
"Ministry of Health & Family Welfare","Health Intelligence","Deputy Director","Finance & Accounts"
"Ministry of Health & Family Welfare","Health Intelligence","Deputy Director","IT / Digital Systems"
"Ministry of Health & Family Welfare","Health Intelligence","Deputy Director","Database Management"
"Ministry of Health & Family Welfare","Health Intelligence","Deputy Director","AI / Machine Learning"
"Ministry of Health & Family Welfare","Health Intelligence","Deputy Director","Cyber Security"
"Ministry of Health & Family Welfare","Health Intelligence","Deputy Director","e-Governance"
"Ministry of Health & Family Welfare","Health Intelligence","Deputy Director","Learning & Development"
"Ministry of Health & Family Welfare","Health Intelligence","Senior Statistical Officer","Statistical Analysis"
"Ministry of Health & Family Welfare","Health Intelligence","Senior Statistical Officer","Data Analysis"
"Ministry of Health & Family Welfare","Health Intelligence","Senior Statistical Officer","Survey Operations"
"Ministry of Health & Family Welfare","Health Intelligence","Senior Statistical Officer","Sampling"
"Ministry of Health & Family Welfare","Health Intelligence","Senior Statistical Officer","Data Quality & Validation"
"Ministry of Health & Family Welfare","Health Intelligence","Senior Statistical Officer","Research & Analysis"
"Ministry of Health & Family Welfare","Health Intelligence","Senior Statistical Officer","Economic Statistics"
"Ministry of Health & Family Welfare","Health Intelligence","Senior Statistical Officer","Social Statistics"
"Ministry of Health & Family Welfare","Health Intelligence","Senior Statistical Officer","Demographic Statistics"
"Ministry of Health & Family Welfare","Health Intelligence","Senior Statistical Officer","Statistical Computing"
"Ministry of Health & Family Welfare","Health Intelligence","Senior Statistical Officer","Data Management"
"Ministry of Health & Family Welfare","Health Intelligence","Senior Statistical Officer","Data Governance"
"Ministry of Health & Family Welfare","Health Intelligence","Senior Statistical Officer","Policy Analysis"
"Ministry of Health & Family Welfare","Health Intelligence","Senior Statistical Officer","Programme Management"
"Ministry of Health & Family Welfare","Health Intelligence","Senior Statistical Officer","Monitoring & Evaluation"
"Ministry of Health & Family Welfare","Health Intelligence","Senior Statistical Officer","Training & Capacity Building"
"Ministry of Health & Family Welfare","Health Intelligence","Senior Statistical Officer","Administration"
"Ministry of Health & Family Welfare","Health Intelligence","Senior Statistical Officer","Finance & Accounts"
"Ministry of Health & Family Welfare","Health Intelligence","Senior Statistical Officer","IT / Digital Systems"
"Ministry of Health & Family Welfare","Health Intelligence","Senior Statistical Officer","Database Management"
"Ministry of Health & Family Welfare","Health Intelligence","Senior Statistical Officer","AI / Machine Learning"
"Ministry of Health & Family Welfare","Health Intelligence","Senior Statistical Officer","Cyber Security"
"Ministry of Health & Family Welfare","Health Intelligence","Senior Statistical Officer","e-Governance"
"Ministry of Health & Family Welfare","Health Intelligence","Senior Statistical Officer","Learning & Development"
"Ministry of Health & Family Welfare","Health Intelligence","Junior Statistical Officer","Statistical Analysis"
"Ministry of Health & Family Welfare","Health Intelligence","Junior Statistical Officer","Data Analysis"
"Ministry of Health & Family Welfare","Health Intelligence","Junior Statistical Officer","Survey Operations"
"Ministry of Health & Family Welfare","Health Intelligence","Junior Statistical Officer","Sampling"
"Ministry of Health & Family Welfare","Health Intelligence","Junior Statistical Officer","Data Quality & Validation"
"Ministry of Health & Family Welfare","Health Intelligence","Junior Statistical Officer","Research & Analysis"
"Ministry of Health & Family Welfare","Health Intelligence","Junior Statistical Officer","Economic Statistics"
"Ministry of Health & Family Welfare","Health Intelligence","Junior Statistical Officer","Social Statistics"
"Ministry of Health & Family Welfare","Health Intelligence","Junior Statistical Officer","Demographic Statistics"
"Ministry of Health & Family Welfare","Health Intelligence","Junior Statistical Officer","Statistical Computing"
"Ministry of Health & Family Welfare","Health Intelligence","Junior Statistical Officer","Data Management"
"Ministry of Health & Family Welfare","Health Intelligence","Junior Statistical Officer","Data Governance"
"Ministry of Health & Family Welfare","Health Intelligence","Junior Statistical Officer","Policy Analysis"
"Ministry of Health & Family Welfare","Health Intelligence","Junior Statistical Officer","Programme Management"
"Ministry of Health & Family Welfare","Health Intelligence","Junior Statistical Officer","Monitoring & Evaluation"
"Ministry of Health & Family Welfare","Health Intelligence","Junior Statistical Officer","Training & Capacity Building"
"Ministry of Health & Family Welfare","Health Intelligence","Junior Statistical Officer","Administration"
"Ministry of Health & Family Welfare","Health Intelligence","Junior Statistical Officer","Finance & Accounts"
"Ministry of Health & Family Welfare","Health Intelligence","Junior Statistical Officer","IT / Digital Systems"
"Ministry of Health & Family Welfare","Health Intelligence","Junior Statistical Officer","Database Management"
"Ministry of Health & Family Welfare","Health Intelligence","Junior Statistical Officer","AI / Machine Learning"
"Ministry of Health & Family Welfare","Health Intelligence","Junior Statistical Officer","Cyber Security"
"Ministry of Health & Family Welfare","Health Intelligence","Junior Statistical Officer","e-Governance"
"Ministry of Health & Family Welfare","Health Intelligence","Junior Statistical Officer","Learning & Development"
"Ministry of Health & Family Welfare","Health Intelligence","Other","Statistical Analysis"
"Ministry of Health & Family Welfare","Health Intelligence","Other","Data Analysis"
"Ministry of Health & Family Welfare","Health Intelligence","Other","Survey Operations"
"Ministry of Health & Family Welfare","Health Intelligence","Other","Sampling"
"Ministry of Health & Family Welfare","Health Intelligence","Other","Data Quality & Validation"
"Ministry of Health & Family Welfare","Health Intelligence","Other","Research & Analysis"
"Ministry of Health & Family Welfare","Health Intelligence","Other","Economic Statistics"
"Ministry of Health & Family Welfare","Health Intelligence","Other","Social Statistics"
"Ministry of Health & Family Welfare","Health Intelligence","Other","Demographic Statistics"
"Ministry of Health & Family Welfare","Health Intelligence","Other","Statistical Computing"
"Ministry of Health & Family Welfare","Health Intelligence","Other","Data Management"
"Ministry of Health & Family Welfare","Health Intelligence","Other","Data Governance"
"Ministry of Health & Family Welfare","Health Intelligence","Other","Policy Analysis"
"Ministry of Health & Family Welfare","Health Intelligence","Other","Programme Management"
"Ministry of Health & Family Welfare","Health Intelligence","Other","Monitoring & Evaluation"
"Ministry of Health & Family Welfare","Health Intelligence","Other","Training & Capacity Building"
"Ministry of Health & Family Welfare","Health Intelligence","Other","Administration"
"Ministry of Health & Family Welfare","Health Intelligence","Other","Finance & Accounts"
"Ministry of Health & Family Welfare","Health Intelligence","Other","IT / Digital Systems"
"Ministry of Health & Family Welfare","Health Intelligence","Other","Database Management"
"Ministry of Health & Family Welfare","Health Intelligence","Other","AI / Machine Learning"
"Ministry of Health & Family Welfare","Health Intelligence","Other","Cyber Security"
"Ministry of Health & Family Welfare","Health Intelligence","Other","e-Governance"
"Ministry of Health & Family Welfare","Health Intelligence","Other","Learning & Development"
"Ministry of Labour & Employment","Labour Bureau","Director","Statistical Analysis"
"Ministry of Labour & Employment","Labour Bureau","Director","Data Analysis"
"Ministry of Labour & Employment","Labour Bureau","Director","Survey Operations"
"Ministry of Labour & Employment","Labour Bureau","Director","Sampling"
"Ministry of Labour & Employment","Labour Bureau","Director","Data Quality & Validation"
"Ministry of Labour & Employment","Labour Bureau","Director","Research & Analysis"
"Ministry of Labour & Employment","Labour Bureau","Director","Economic Statistics"
"Ministry of Labour & Employment","Labour Bureau","Director","Social Statistics"
"Ministry of Labour & Employment","Labour Bureau","Director","Demographic Statistics"
"Ministry of Labour & Employment","Labour Bureau","Director","Statistical Computing"
"Ministry of Labour & Employment","Labour Bureau","Director","Data Management"
"Ministry of Labour & Employment","Labour Bureau","Director","Data Governance"
"Ministry of Labour & Employment","Labour Bureau","Director","Policy Analysis"
"Ministry of Labour & Employment","Labour Bureau","Director","Programme Management"
"Ministry of Labour & Employment","Labour Bureau","Director","Monitoring & Evaluation"
"Ministry of Labour & Employment","Labour Bureau","Director","Training & Capacity Building"
"Ministry of Labour & Employment","Labour Bureau","Director","Administration"
"Ministry of Labour & Employment","Labour Bureau","Director","Finance & Accounts"
"Ministry of Labour & Employment","Labour Bureau","Director","IT / Digital Systems"
"Ministry of Labour & Employment","Labour Bureau","Director","Database Management"
"Ministry of Labour & Employment","Labour Bureau","Director","AI / Machine Learning"
"Ministry of Labour & Employment","Labour Bureau","Director","Cyber Security"
"Ministry of Labour & Employment","Labour Bureau","Director","e-Governance"
"Ministry of Labour & Employment","Labour Bureau","Director","Learning & Development"
"Ministry of Labour & Employment","Labour Bureau","Deputy Director","Statistical Analysis"
"Ministry of Labour & Employment","Labour Bureau","Deputy Director","Data Analysis"
"Ministry of Labour & Employment","Labour Bureau","Deputy Director","Survey Operations"
"Ministry of Labour & Employment","Labour Bureau","Deputy Director","Sampling"
"Ministry of Labour & Employment","Labour Bureau","Deputy Director","Data Quality & Validation"
"Ministry of Labour & Employment","Labour Bureau","Deputy Director","Research & Analysis"
"Ministry of Labour & Employment","Labour Bureau","Deputy Director","Economic Statistics"
"Ministry of Labour & Employment","Labour Bureau","Deputy Director","Social Statistics"
"Ministry of Labour & Employment","Labour Bureau","Deputy Director","Demographic Statistics"
"Ministry of Labour & Employment","Labour Bureau","Deputy Director","Statistical Computing"
"Ministry of Labour & Employment","Labour Bureau","Deputy Director","Data Management"
"Ministry of Labour & Employment","Labour Bureau","Deputy Director","Data Governance"
"Ministry of Labour & Employment","Labour Bureau","Deputy Director","Policy Analysis"
"Ministry of Labour & Employment","Labour Bureau","Deputy Director","Programme Management"
"Ministry of Labour & Employment","Labour Bureau","Deputy Director","Monitoring & Evaluation"
"Ministry of Labour & Employment","Labour Bureau","Deputy Director","Training & Capacity Building"
"Ministry of Labour & Employment","Labour Bureau","Deputy Director","Administration"
"Ministry of Labour & Employment","Labour Bureau","Deputy Director","Finance & Accounts"
"Ministry of Labour & Employment","Labour Bureau","Deputy Director","IT / Digital Systems"
"Ministry of Labour & Employment","Labour Bureau","Deputy Director","Database Management"
"Ministry of Labour & Employment","Labour Bureau","Deputy Director","AI / Machine Learning"
"Ministry of Labour & Employment","Labour Bureau","Deputy Director","Cyber Security"
"Ministry of Labour & Employment","Labour Bureau","Deputy Director","e-Governance"
"Ministry of Labour & Employment","Labour Bureau","Deputy Director","Learning & Development"
"Ministry of Labour & Employment","Labour Bureau","Senior Statistical Officer","Statistical Analysis"
"Ministry of Labour & Employment","Labour Bureau","Senior Statistical Officer","Data Analysis"
"Ministry of Labour & Employment","Labour Bureau","Senior Statistical Officer","Survey Operations"
"Ministry of Labour & Employment","Labour Bureau","Senior Statistical Officer","Sampling"
"Ministry of Labour & Employment","Labour Bureau","Senior Statistical Officer","Data Quality & Validation"
"Ministry of Labour & Employment","Labour Bureau","Senior Statistical Officer","Research & Analysis"
"Ministry of Labour & Employment","Labour Bureau","Senior Statistical Officer","Economic Statistics"
"Ministry of Labour & Employment","Labour Bureau","Senior Statistical Officer","Social Statistics"
"Ministry of Labour & Employment","Labour Bureau","Senior Statistical Officer","Demographic Statistics"
"Ministry of Labour & Employment","Labour Bureau","Senior Statistical Officer","Statistical Computing"
"Ministry of Labour & Employment","Labour Bureau","Senior Statistical Officer","Data Management"
"Ministry of Labour & Employment","Labour Bureau","Senior Statistical Officer","Data Governance"
"Ministry of Labour & Employment","Labour Bureau","Senior Statistical Officer","Policy Analysis"
"Ministry of Labour & Employment","Labour Bureau","Senior Statistical Officer","Programme Management"
"Ministry of Labour & Employment","Labour Bureau","Senior Statistical Officer","Monitoring & Evaluation"
"Ministry of Labour & Employment","Labour Bureau","Senior Statistical Officer","Training & Capacity Building"
"Ministry of Labour & Employment","Labour Bureau","Senior Statistical Officer","Administration"
"Ministry of Labour & Employment","Labour Bureau","Senior Statistical Officer","Finance & Accounts"
"Ministry of Labour & Employment","Labour Bureau","Senior Statistical Officer","IT / Digital Systems"
"Ministry of Labour & Employment","Labour Bureau","Senior Statistical Officer","Database Management"
"Ministry of Labour & Employment","Labour Bureau","Senior Statistical Officer","AI / Machine Learning"
"Ministry of Labour & Employment","Labour Bureau","Senior Statistical Officer","Cyber Security"
"Ministry of Labour & Employment","Labour Bureau","Senior Statistical Officer","e-Governance"
"Ministry of Labour & Employment","Labour Bureau","Senior Statistical Officer","Learning & Development"
"Ministry of Labour & Employment","Labour Bureau","Junior Statistical Officer","Statistical Analysis"
"Ministry of Labour & Employment","Labour Bureau","Junior Statistical Officer","Data Analysis"
"Ministry of Labour & Employment","Labour Bureau","Junior Statistical Officer","Survey Operations"
"Ministry of Labour & Employment","Labour Bureau","Junior Statistical Officer","Sampling"
"Ministry of Labour & Employment","Labour Bureau","Junior Statistical Officer","Data Quality & Validation"
"Ministry of Labour & Employment","Labour Bureau","Junior Statistical Officer","Research & Analysis"
"Ministry of Labour & Employment","Labour Bureau","Junior Statistical Officer","Economic Statistics"
"Ministry of Labour & Employment","Labour Bureau","Junior Statistical Officer","Social Statistics"
"Ministry of Labour & Employment","Labour Bureau","Junior Statistical Officer","Demographic Statistics"
"Ministry of Labour & Employment","Labour Bureau","Junior Statistical Officer","Statistical Computing"
"Ministry of Labour & Employment","Labour Bureau","Junior Statistical Officer","Data Management"
"Ministry of Labour & Employment","Labour Bureau","Junior Statistical Officer","Data Governance"
"Ministry of Labour & Employment","Labour Bureau","Junior Statistical Officer","Policy Analysis"
"Ministry of Labour & Employment","Labour Bureau","Junior Statistical Officer","Programme Management"
"Ministry of Labour & Employment","Labour Bureau","Junior Statistical Officer","Monitoring & Evaluation"
"Ministry of Labour & Employment","Labour Bureau","Junior Statistical Officer","Training & Capacity Building"
"Ministry of Labour & Employment","Labour Bureau","Junior Statistical Officer","Administration"
"Ministry of Labour & Employment","Labour Bureau","Junior Statistical Officer","Finance & Accounts"
"Ministry of Labour & Employment","Labour Bureau","Junior Statistical Officer","IT / Digital Systems"
"Ministry of Labour & Employment","Labour Bureau","Junior Statistical Officer","Database Management"
"Ministry of Labour & Employment","Labour Bureau","Junior Statistical Officer","AI / Machine Learning"
"Ministry of Labour & Employment","Labour Bureau","Junior Statistical Officer","Cyber Security"
"Ministry of Labour & Employment","Labour Bureau","Junior Statistical Officer","e-Governance"
"Ministry of Labour & Employment","Labour Bureau","Junior Statistical Officer","Learning & Development"
"Ministry of Labour & Employment","Labour Bureau","Other","Statistical Analysis"
"Ministry of Labour & Employment","Labour Bureau","Other","Data Analysis"
"Ministry of Labour & Employment","Labour Bureau","Other","Survey Operations"
"Ministry of Labour & Employment","Labour Bureau","Other","Sampling"
"Ministry of Labour & Employment","Labour Bureau","Other","Data Quality & Validation"
"Ministry of Labour & Employment","Labour Bureau","Other","Research & Analysis"
"Ministry of Labour & Employment","Labour Bureau","Other","Economic Statistics"
"Ministry of Labour & Employment","Labour Bureau","Other","Social Statistics"
"Ministry of Labour & Employment","Labour Bureau","Other","Demographic Statistics"
"Ministry of Labour & Employment","Labour Bureau","Other","Statistical Computing"
"Ministry of Labour & Employment","Labour Bureau","Other","Data Management"
"Ministry of Labour & Employment","Labour Bureau","Other","Data Governance"
"Ministry of Labour & Employment","Labour Bureau","Other","Policy Analysis"
"Ministry of Labour & Employment","Labour Bureau","Other","Programme Management"
"Ministry of Labour & Employment","Labour Bureau","Other","Monitoring & Evaluation"
"Ministry of Labour & Employment","Labour Bureau","Other","Training & Capacity Building"
"Ministry of Labour & Employment","Labour Bureau","Other","Administration"
"Ministry of Labour & Employment","Labour Bureau","Other","Finance & Accounts"
"Ministry of Labour & Employment","Labour Bureau","Other","IT / Digital Systems"
"Ministry of Labour & Employment","Labour Bureau","Other","Database Management"
"Ministry of Labour & Employment","Labour Bureau","Other","AI / Machine Learning"
"Ministry of Labour & Employment","Labour Bureau","Other","Cyber Security"
"Ministry of Labour & Employment","Labour Bureau","Other","e-Governance"
"Ministry of Labour & Employment","Labour Bureau","Other","Learning & Development"
"Ministry of Finance","Economic Affairs","Director","Statistical Analysis"
"Ministry of Finance","Economic Affairs","Director","Data Analysis"
"Ministry of Finance","Economic Affairs","Director","Survey Operations"
"Ministry of Finance","Economic Affairs","Director","Sampling"
"Ministry of Finance","Economic Affairs","Director","Data Quality & Validation"
"Ministry of Finance","Economic Affairs","Director","Research & Analysis"
"Ministry of Finance","Economic Affairs","Director","Economic Statistics"
"Ministry of Finance","Economic Affairs","Director","Social Statistics"
"Ministry of Finance","Economic Affairs","Director","Demographic Statistics"
"Ministry of Finance","Economic Affairs","Director","Statistical Computing"
"Ministry of Finance","Economic Affairs","Director","Data Management"
"Ministry of Finance","Economic Affairs","Director","Data Governance"
"Ministry of Finance","Economic Affairs","Director","Policy Analysis"
"Ministry of Finance","Economic Affairs","Director","Programme Management"
"Ministry of Finance","Economic Affairs","Director","Monitoring & Evaluation"
"Ministry of Finance","Economic Affairs","Director","Training & Capacity Building"
"Ministry of Finance","Economic Affairs","Director","Administration"
"Ministry of Finance","Economic Affairs","Director","Finance & Accounts"
"Ministry of Finance","Economic Affairs","Director","IT / Digital Systems"
"Ministry of Finance","Economic Affairs","Director","Database Management"
"Ministry of Finance","Economic Affairs","Director","AI / Machine Learning"
"Ministry of Finance","Economic Affairs","Director","Cyber Security"
"Ministry of Finance","Economic Affairs","Director","e-Governance"
"Ministry of Finance","Economic Affairs","Director","Learning & Development"
"Ministry of Finance","Economic Affairs","Deputy Director","Statistical Analysis"
"Ministry of Finance","Economic Affairs","Deputy Director","Data Analysis"
"Ministry of Finance","Economic Affairs","Deputy Director","Survey Operations"
"Ministry of Finance","Economic Affairs","Deputy Director","Sampling"
"Ministry of Finance","Economic Affairs","Deputy Director","Data Quality & Validation"
"Ministry of Finance","Economic Affairs","Deputy Director","Research & Analysis"
"Ministry of Finance","Economic Affairs","Deputy Director","Economic Statistics"
"Ministry of Finance","Economic Affairs","Deputy Director","Social Statistics"
"Ministry of Finance","Economic Affairs","Deputy Director","Demographic Statistics"
"Ministry of Finance","Economic Affairs","Deputy Director","Statistical Computing"
"Ministry of Finance","Economic Affairs","Deputy Director","Data Management"
"Ministry of Finance","Economic Affairs","Deputy Director","Data Governance"
"Ministry of Finance","Economic Affairs","Deputy Director","Policy Analysis"
"Ministry of Finance","Economic Affairs","Deputy Director","Programme Management"
"Ministry of Finance","Economic Affairs","Deputy Director","Monitoring & Evaluation"
"Ministry of Finance","Economic Affairs","Deputy Director","Training & Capacity Building"
"Ministry of Finance","Economic Affairs","Deputy Director","Administration"
"Ministry of Finance","Economic Affairs","Deputy Director","Finance & Accounts"
"Ministry of Finance","Economic Affairs","Deputy Director","IT / Digital Systems"
"Ministry of Finance","Economic Affairs","Deputy Director","Database Management"
"Ministry of Finance","Economic Affairs","Deputy Director","AI / Machine Learning"
"Ministry of Finance","Economic Affairs","Deputy Director","Cyber Security"
"Ministry of Finance","Economic Affairs","Deputy Director","e-Governance"
"Ministry of Finance","Economic Affairs","Deputy Director","Learning & Development"
"Ministry of Finance","Economic Affairs","Senior Statistical Officer","Statistical Analysis"
"Ministry of Finance","Economic Affairs","Senior Statistical Officer","Data Analysis"
"Ministry of Finance","Economic Affairs","Senior Statistical Officer","Survey Operations"
"Ministry of Finance","Economic Affairs","Senior Statistical Officer","Sampling"
"Ministry of Finance","Economic Affairs","Senior Statistical Officer","Data Quality & Validation"
"Ministry of Finance","Economic Affairs","Senior Statistical Officer","Research & Analysis"
"Ministry of Finance","Economic Affairs","Senior Statistical Officer","Economic Statistics"
"Ministry of Finance","Economic Affairs","Senior Statistical Officer","Social Statistics"
"Ministry of Finance","Economic Affairs","Senior Statistical Officer","Demographic Statistics"
"Ministry of Finance","Economic Affairs","Senior Statistical Officer","Statistical Computing"
"Ministry of Finance","Economic Affairs","Senior Statistical Officer","Data Management"
"Ministry of Finance","Economic Affairs","Senior Statistical Officer","Data Governance"
"Ministry of Finance","Economic Affairs","Senior Statistical Officer","Policy Analysis"
"Ministry of Finance","Economic Affairs","Senior Statistical Officer","Programme Management"
"Ministry of Finance","Economic Affairs","Senior Statistical Officer","Monitoring & Evaluation"
"Ministry of Finance","Economic Affairs","Senior Statistical Officer","Training & Capacity Building"
"Ministry of Finance","Economic Affairs","Senior Statistical Officer","Administration"
"Ministry of Finance","Economic Affairs","Senior Statistical Officer","Finance & Accounts"
"Ministry of Finance","Economic Affairs","Senior Statistical Officer","IT / Digital Systems"
"Ministry of Finance","Economic Affairs","Senior Statistical Officer","Database Management"
"Ministry of Finance","Economic Affairs","Senior Statistical Officer","AI / Machine Learning"
"Ministry of Finance","Economic Affairs","Senior Statistical Officer","Cyber Security"
"Ministry of Finance","Economic Affairs","Senior Statistical Officer","e-Governance"
"Ministry of Finance","Economic Affairs","Senior Statistical Officer","Learning & Development"
"Ministry of Finance","Economic Affairs","Junior Statistical Officer","Statistical Analysis"
"Ministry of Finance","Economic Affairs","Junior Statistical Officer","Data Analysis"
"Ministry of Finance","Economic Affairs","Junior Statistical Officer","Survey Operations"
"Ministry of Finance","Economic Affairs","Junior Statistical Officer","Sampling"
"Ministry of Finance","Economic Affairs","Junior Statistical Officer","Data Quality & Validation"
"Ministry of Finance","Economic Affairs","Junior Statistical Officer","Research & Analysis"
"Ministry of Finance","Economic Affairs","Junior Statistical Officer","Economic Statistics"
"Ministry of Finance","Economic Affairs","Junior Statistical Officer","Social Statistics"
"Ministry of Finance","Economic Affairs","Junior Statistical Officer","Demographic Statistics"
"Ministry of Finance","Economic Affairs","Junior Statistical Officer","Statistical Computing"
"Ministry of Finance","Economic Affairs","Junior Statistical Officer","Data Management"
"Ministry of Finance","Economic Affairs","Junior Statistical Officer","Data Governance"
"Ministry of Finance","Economic Affairs","Junior Statistical Officer","Policy Analysis"
"Ministry of Finance","Economic Affairs","Junior Statistical Officer","Programme Management"
"Ministry of Finance","Economic Affairs","Junior Statistical Officer","Monitoring & Evaluation"
"Ministry of Finance","Economic Affairs","Junior Statistical Officer","Training & Capacity Building"
"Ministry of Finance","Economic Affairs","Junior Statistical Officer","Administration"
"Ministry of Finance","Economic Affairs","Junior Statistical Officer","Finance & Accounts"
"Ministry of Finance","Economic Affairs","Junior Statistical Officer","IT / Digital Systems"
"Ministry of Finance","Economic Affairs","Junior Statistical Officer","Database Management"
